Common Name Used,Other common names and information,Latin name,kingdom,class,order,family,genius
Brown pelican,,Pelecanus occidentalis,Animal,Bird,Pelecaniformes,Pelecanidae,Pelecanus
Brown rat,"Norway Rat, Common Rat, Sewer rat",Rattus norvegicus,Animal,Mammal,Rodentia,Muridae,Rattus
Brown thrasher,,,Animal,Bird,Passeriformes,Mimidae,Toxostoma
Brown-headed cowbird,,Molothrus ater,Animal,Bird,Passeriformes,Icteridae,Molothrus
Bucephala clangula,,Sylvia borin,,,,,
Bullock's oriole,"Was considered the same species as Baltimore Oriole for a period of time since they can interbreed and was caled the Northern Oriole, but they were later determined to be different.",Icterus bullockii,Animal,Bird,Passeriformes,Icteridae,Icterus
Burmese python,,"Python molurus bivittatus, Python molurus bivittatus",,,,,
Burrowing owl,Shoco,Athene cunicularia,Animal,Bird,Strigiformes,Strigidae,Athene
Bushtit,American bush tit,Psaltriparus minimus,Animal,Bird,Passeriformes,Aegithalidae,Psaltriparus
Bushy-tailed woodrat,,Neotoma cinerea,Animal,Mammal,Rodentia,Cricetidae,Neotoma
California deermouse,California mouse,Peromyscus californicus,Animal,Mammal,Rodentia,Cricetidae,Peromyscus
California ground squirrel,,"Spermophilus beecheyi, Otospermophilus beecheyi",Animal,Mammal,Rodentia,Sciuridae,Otospermophilus
California quail,,Callipepla californica,Animal,Bird,Galliformes,Odontophoridae,Callipepla
California thrasher,,Toxostoma redivivum,Animal,Bird,Passeriformes,Mimidae,Toxostoma
California towhee,,"Melozoneÿcrissalis, Pipilo crissalisÿ",Animal,Bird,Passeriformes,Passerellidae,Melozone
Calliphora,genus,Calliphora,Animal,Insect,Diptera,Calliphoridae,Calliphora
Calliphoridae,family,Calliphoridae,Animal,Insect,Diptera,Calliphoridae,
Callithrix,,"Callithrix, Chlorocebus",Animal,Mammal,Primates,Cercopithecidae,Chlorocebus
Camptops,genus,Camptops,Animal,Insect,Diptera,Sarcophagidae,Camptops
Campylocheta,genus,Campylocheta,Animal,Insect,Diptera,Tachinidae,Campylocheta
Canada goose,,Branta canadensis,Animal,Bird,Anseriformes,Anatidae,Branta
Canada lynx,"lynx, Canadian Lynx.  Lynx are also part of the same genus",Lynx canadensis,Animal,Mammal,Carnivora,Felidae,Lynx
Canary,Canaries as a whole are part of multiple different genera so I am labeling them as part of the same family.,Fringillidae,Animal,Bird,Passeriformes,Fringillidae,
Cane rat,,Thryonomys swinderianus ,Animal,Mammal,Rodentia,Cricetidae,Zygodontomys
Carrion crow,,Corvus corone,Animal,Bird,Passeriformes,Corvidae,Corvus
Cat,Domestic cats,Felis catus,Animal,Mammal,Carnivora,Felidae,Felis
Felinae,Family Cats,Felinae,,,,,
Cattle egret,Western Cattle Egret,Bubulcus ibis,Animal,Bird,Pelecaniformes,Ardeidae,Bubulcus
Cedar waxwing,,Bombycilla cedrorum,Animal,Bird,Passeriformes,Bombycillidae,Bombycilla
Central bearded dragon,,Pogonaÿvitticeps,,,,,
Chacma baboon,,Papio ursinus,Animal,Mammal,Primates,Cercopithecidae,Papio
Chaetopsis,genus fly,Chaetopsis,Animal,Insect,Diptera,Otitidae,Chaetopsis
Charadriiformes,Shorebirds,Charadriiformes,,,,,
Chinese stripe-necked turtle,,"Ocadia philippeni, Ocadia sinensis, Emys bennettii, Testudo anyangensis, Ocadia sinensis changwui",,,,,
Chipmunk,Chipmunks are part of the same Family,,Animal,Mammal,Rodentia,Sciuridae,
Chipping sparrow,,Spizella passerina,Animal,Bird,Passeriformes,Passerellidae,Spizella
Chrysagreco duodecimpunctata,,Chrysagreco duodecimpunctata,Animal,Insect,Coleoptera,Chrysomelidae,Crioceris
Cinereous vulture,"Black Vulture, monk vulture, Eurasian black vulture",Aegypiusÿmonachus,Animal,Bird,Accipitriformes,Accipitridae,Aegypius
Cinnamon teal,,"Spatula cyanoptera, Anas cyanoptera",Animal,Bird,Anseriformes,Anatidae,Spatula
Clark's grebe,,Aechmophorus clarkii,Animal,Bird,Podicipediformes,Podicipedidae,Aechmophorus
Cliff swallow,American cliff swallow,Petrochelidon pyrrhonota,Animal,Bird,Passeriformes,Hirundinidae,Petrochelidon
Cluster fly,,Calliphoridae Pollenia rudis,Animal,Insect,Diptera,Calliphoridae,Pollenia
Coal tit,,"Periparus ater, Periparus melanolophus, Parus ater",Animal,Bird,Passeriformes,Paridae,Periparus
Coastal carpet python,McDowell's Carpet Python,Morelia spilota mcdowelli,Animal,Reptile,Squamata,Pythonidae,Morelia
Cockroach,,Blattodea,Animal,Insect,Blattodea,,
Cocoi heron,,Ardea cocoi,Animal,Bird,Pelecaniformes,Ardeidae,Ardea
Collared flycatcher,,Ficedulaÿalbicollis,Animal,Bird,Passeriformes,Muscicapidae,Ficedula
Colombian red howler,venezuelan red howler,"Alouatta seniculus, Alouatta seniculus",Animal,Mammal,Primates,Atelidae,Alouatta
Common barn-owl,Barn owl is a general term used for multiple species of owl of the same family,Tyto Alba,Animal,Bird,Strigiformes,Tytonidae,Tyto
Common blackbird,"Eurasian blackbird, black bird",Turdus merula,Animal,Bird,Passeriformes,Turdidae,Turdus
Common brushtail possum,Common bushtail,Trichosurus vulpecula,Animal,Mammal,Diprotodontia,Phalangeridae,Trichosurus
Common buzzard,buzzard,Buteo buteo,Animal,Bird,Accipitriformes,Accipitridae,Buteo
Common chaffinch,chaffinch,Fringilla coelebs,Animal,Bird,Passeriformes,Fringillidae,Fringilla
Common chiffchaff,,Phylloscopus collybita,Animal,Bird,Passeriformes,Phylloscopidae,Phylloscopus
Common cuckoo,,Cuculus canorus,,,,,
Common eider,,"Somateria mollissima, Anas mollissima, Eider mollissimus",,,,,
Common goldeneyeÿ,,Bucephalaÿclangula,Animal,Bird,Anseriformes,Anatidae,Bucephala
Common grackle,grackle,Quiscalus quiscula,Animal,Bird,Passeriformes,Icteridae,Quiscalus
Common grasshopper warbler,,Locustella naevia,Animal,Bird,Passeriformes,Locustellidae,Locustella
Common greenshank,,Tringa nebularia,,,,,
Common ground dove,,Columbina passerina,Animal,Bird,Columbiformes,Columbidae,Columbina
Common gull,"Common gull, sea mew, Mew gull",Larus canus,Animal,Bird,Charadriiformes,Laridae,Larus
Common house martin,"house martin, northern house martin","Delichon urbica, Delichon urbicum",Animal,Bird,Passeriformes,Hirundinidae,Delichon
Common keelback,"Mair's keelback, keel-back",Tropidonophis mairii,Animal,Reptile,Squamata,Colubridae,Tropidonophis
Common kestrel,"kestrel, european kestrel, eurasian kestrel, old world kestrel",Falco tinnunculus,Animal,Bird,Falconiformes,Falconidae,Falco
Common kingfisher,"Eurasian kingfisher, river kingfisher, kingfisher",Alcedo atthis,Animal,Bird,Coraciiformes,Alcedinidae,Alcedo
Common kingsnake,Eastern Kingsnake,"Lampropeltis getulus, Lampropeltis getula",,,,,
Common linnet,,"Acanthis cannabina, Carduelis cannabina, Linaria cannabina",Animal,Bird,Passeriformes,Fringillidae,Linaria
Common loon,"Great northern loon, Great northern diver",Gavia immer,Animal,Bird,Gaviiformes,Gaviidae,Gavia
Common moorhen,"Waterhen, swamp chicken",Gallinula chloropus ,Animal,Bird,Gruiformes,Rallidae,Gallinula
Common murre,Common guillemot,Uria aalge,Animal,Bird,Charadriiformes,Alcidae,Uria
Common noctule,Noctuleÿ,Nyctalusÿnoctula,Animal,Mammal,Chiroptera,Vespertilionidae,Nyctalus
Common opossum,,Didelphisÿmarsupialis,,,,,
Common pheasant,Ring-necked Pheasant,Phasianus colchicus,Animal,Bird,Galliformes,Phasianidae,Phasianus
Common pipistrelle,Small House Bat,Pipistrellus pipistrellus,Animal,Mammal,Chiroptera,Vespertilionidae,Pipistrellus
Common raven,Northern Raven,corvus corax,Animal,Bird,Passeriformes,Corvidae,Corvus
Common redpoll,mealy redpoll,"Carduelis flammea, Acanthis flammea",Animal,Bird,Passeriformes,Fringillidae,Acanthis
Common redstart,redstart,Phoenicurus phoenicurus,Animal,Bird,Passeriformes,Muscicapidae,Phoenicurus
Common reed bunting,"Common reed-bunting, reed bunting",Emberiza schoeniclus,Animal,Bird,Passeriformes,Emberizidae,Emberiza
Common ringed plover,,Charadrius hiaticula,,,,,
Common rosefinch,scarlet rosefinch,"Carpodacus erythrinus,  Erythrina erythrina",Animal,Bird,Passeriformes,Fringillidae,Carpodacus
Common sandpiper,,"Actitis hypoleucos, Tringa hypoleucos ",,,,,
Common shelduck,,Tadorna tadorna,Animal,Bird,Anseriformes,Anatidae,Tadorna
