Reference,Year,Full.Reference,peer.review,search,Location,USA,Global.Region,Method,Conventional..Molecular..or.Immunologic,MDL.ALOD.LOD,Below.MDL,MDL.units,Sample.Volume,kingdom,class,order,family,genius,Animal.common.name,Animal.Latin.Name,X,Free.captive,Pathogen1,Pathogen,medium,Presence,Enumerated,Enum.Stats,Censored.Data,Presence.Absence,Total,percent,Individual.Sample,Mean,Geometric.mean,Standard.deviation,Median,Min,Max,X95..low,X95..high,units,Notes,Notes.1,CenMedianLow,CenMedianHigh,CenMinLow,CenMinHigh,CenMaxLow,CenMaxHigh,log10mean,log10SD,GRADES,GRADES_Score
Siembieda et al.,2011,Siembieda et al. 2011,yes,Google Scholar,"USA, California, San Francisco Bay",yes,North America,"direct immunofluorescence assay, immunomagnetic separation",Immunologic,NA,NA,,<5 g,Animal,Bird,Pelecaniformes,Ardeidae,Butorides,Green heron,,,free,Cryptosporidium spp,Cryptosporidium,feces,yes,no,,,ND,8,,NA,,NA,,,,,,,,Data had to be compiled from all over the place in the article,response to oil spill,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Siembieda et al.,2011,Siembieda et al. 2011,yes,Google Scholar,"USA, California, San Francisco Bay",yes,North America,"direct immunofluorescence assay, immunomagnetic separation",Immunologic,NA,NA,,<5 g,Animal,Bird,Anseriformes,Anatidae,Anas,Mallard,,,free,Cryptosporidium spp,Cryptosporidium,feces,yes,no,,,ND,12,,NA,,NA,,,,,,,,Data had to be compiled from all over the place in the article,response to oil spill,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Siembieda et al.,2011,Siembieda et al. 2011,yes,Google Scholar,"USA, California, San Francisco Bay",yes,North America,"direct immunofluorescence assay, immunomagnetic separation",Immunologic,NA,NA,,<5 g,Animal,Bird,Columbiformes,Columbidae,Zenaida,Mourning dove,,,free,Cryptosporidium spp,Cryptosporidium,feces,yes,no,,,ND,14,,NA,,NA,,,,,,,,Data had to be compiled from all over the place in the article,response to oil spill,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Siembieda et al.,2011,Siembieda et al. 2011,yes,Google Scholar,"USA, California, San Francisco Bay",yes,North America,"direct immunofluorescence assay, immunomagnetic separation",Immunologic,NA,NA,,<5 g,Animal,Mammal,Carnivora,Procyonidae,Procyon,Raccoon,,,free,Cryptosporidium spp,Cryptosporidium,feces,yes,no,,,1,10,,NA,,NA,,,,,,,,Data had to be compiled from all over the place in the article,response to oil spill,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Siembieda et al.,2011,Siembieda et al. 2011,yes,Google Scholar,"USA, California, San Francisco Bay",yes,North America,"direct immunofluorescence assay, immunomagnetic separation",Immunologic,NA,NA,,<5 g,Animal,Bird,Accipitriformes,Accipitridae,Buteo,Red-tailed hawk,,,free,Cryptosporidium spp,Cryptosporidium,feces,yes,no,,,ND,5,,NA,,NA,,,,,,,,Data had to be compiled from all over the place in the article,response to oil spill,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Siembieda et al.,2011,Siembieda et al. 2011,yes,Google Scholar,"USA, California, San Francisco Bay",yes,North America,"direct immunofluorescence assay, immunomagnetic separation",Immunologic,NA,NA,,<5 g,Animal,Bird,Anseriformes,Anatidae,Oxyura,Ruddy duck,Oxyuraÿjamaicensis,,free,Cryptosporidium spp,Cryptosporidium,feces,yes,no,,,ND,5,,NA,,NA,,,,,,,,Data had to be compiled from all over the place in the article,response to oil spill,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Siembieda et al.,2011,Siembieda et al. 2011,yes,Google Scholar,"USA, California, San Francisco Bay",yes,North America,"direct immunofluorescence assay, immunomagnetic separation",Immunologic,NA,NA,,<5 g,Animal,Bird,Pelecaniformes,Ardeidae,Egretta,Snowy egret,,,free,Cryptosporidium spp,Cryptosporidium,feces,yes,no,,,ND,7,,NA,,NA,,,,,,,,Data had to be compiled from all over the place in the article,response to oil spill,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Siembieda et al.,2011,Siembieda et al. 2011,yes,Google Scholar,"USA, California, San Francisco Bay",yes,North America,"direct immunofluorescence assay, immunomagnetic separation",Immunologic,NA,NA,,<5 g,Animal,Bird,Procellariiformes,Procellariidae,Puffinus,Sooty shearwater,,,free,Cryptosporidium spp,Cryptosporidium,feces,yes,no,,,ND,1,,NA,,NA,,,,,,,,Data had to be compiled from all over the place in the article,response to oil spill,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Siembieda et al.,2011,Siembieda et al. 2011,yes,Google Scholar,"USA, California, San Francisco Bay",yes,North America,"direct immunofluorescence assay, immunomagnetic separation",Immunologic,NA,NA,,<5 g,Animal,Bird,Anseriformes,Anatidae,Melanitta,Surf scoter,,,free,Cryptosporidium spp,Cryptosporidium,feces,yes,no,,,ND,8,,NA,,NA,,,,,,,,Data had to be compiled from all over the place in the article,response to oil spill,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Siembieda et al.,2011,Siembieda et al. 2011,yes,Google Scholar,"USA, California, San Francisco Bay",yes,North America,"direct immunofluorescence assay, immunomagnetic separation",Immunologic,NA,NA,,<5 g,Animal,Bird,Accipitriformes,Cathartidae,Cathartes,Turkey vulture,,,free,Cryptosporidium spp,Cryptosporidium,feces,yes,no,,,ND,3,,NA,,NA,,,,,,,,Data had to be compiled from all over the place in the article,response to oil spill,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Siembieda et al.,2011,Siembieda et al. 2011,yes,Google Scholar,"USA, California, San Francisco Bay",yes,North America,"direct immunofluorescence assay, immunomagnetic separation",Immunologic,NA,NA,,<5 g,Animal,Mammal,Didelphimorphia,Didelphidae,Didelphis,Virginia opossum,,,free,Cryptosporidium spp,Cryptosporidium,feces,yes,no,,,ND,12,,NA,,NA,,,,,,,,Data had to be compiled from all over the place in the article,response to oil spill,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Siembieda et al.,2011,Siembieda et al. 2011,yes,Google Scholar,"USA, California, San Francisco Bay",yes,North America,"direct immunofluorescence assay, immunomagnetic separation",Immunologic,NA,NA,,<5 g,Animal,Bird,Gruiformes,Rallidae,Rallus,Virginia rail,,,free,Cryptosporidium spp,Cryptosporidium,feces,yes,no,,,ND,1,,NA,,NA,,,,,,,,Data had to be compiled from all over the place in the article,response to oil spill,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Siembieda et al.,2011,Siembieda et al. 2011,yes,Google Scholar,"USA, California, San Francisco Bay",yes,North America,"direct immunofluorescence assay, immunomagnetic separation",Immunologic,NA,NA,,<5 g,Animal,Bird,Podicipedidae,Aechmophorus,Aechmophoru,Western grebe,,,free,Cryptosporidium spp,Cryptosporidium,feces,yes,no,,,ND,11,,NA,,NA,,,,,,,,Data had to be compiled from all over the place in the article,response to oil spill,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Siembieda et al.,2011,Siembieda et al. 2011,yes,Google Scholar,"USA, California, San Francisco Bay",yes,North America,"direct immunofluorescence assay, immunomagnetic separation",Immunologic,NA,NA,,<5 g,Animal,Bird,Charadriiformes,Laridae,Larus,Western gull,,,free,Cryptosporidium spp,Cryptosporidium,feces,yes,no,,,ND,7,,NA,,NA,,,,,,,,Data had to be compiled from all over the place in the article,response to oil spill,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Siembieda et al.,2011,Siembieda et al. 2011,yes,Google Scholar,"USA, California, San Francisco Bay",yes,North America,"direct immunofluorescence assay, immunomagnetic separation",Immunologic,NA,NA,,<5 g,Animal,Bird,Strigidae,Striginae,Megascops,Western screech owl,,,free,Cryptosporidium spp,Cryptosporidium,feces,yes,no,,,ND,3,,NA,,NA,,,,,,,,Data had to be compiled from all over the place in the article,response to oil spill,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Siembieda et al.,2011,Siembieda et al. 2011,yes,Google Scholar,"USA, California, San Francisco Bay",yes,North America,"direct immunofluorescence assay, immunomagnetic separation",Immunologic,NA,NA,,<5 g,Animal,Bird,Passeriformes,Corvidae,Aphelocoma,Western scrub jay,,,free,Cryptosporidium spp,Cryptosporidium,feces,yes,no,,,ND,12,,NA,,NA,,,,,,,,Data had to be compiled from all over the place in the article,response to oil spill,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Siembieda et al.,2011,Siembieda et al. 2011,yes,Google Scholar,"USA, California, San Francisco Bay",yes,North America,"direct immunofluorescence assay, immunomagnetic separation",Immunologic,NA,NA,,<5 g,Animal,Bird,Anseriformes,Anatidae,,,,Scaup and scoter ,free,Cryptosporidium spp,Cryptosporidium,feces,yes,no,,,ND,6,,NA,,NA,,,,,,,,Data had to be compiled from all over the place in the article,response to oil spill,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Siembieda et al.,2011,Siembieda et al. 2011,yes,Google Scholar,"USA, California, San Francisco Bay",yes,North America,"direct immunofluorescence assay, immunomagnetic separation",Immunologic,NA,NA,,<5 g,Animal,Bird,Strigiformes,Tytonidae,,,,Barn owl (family),free,Cryptosporidium spp,Cryptosporidium,feces,yes,no,,,ND,5,,NA,,NA,,,,,,,,Data had to be compiled from all over the place in the article,response to oil spill,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Siembieda et al.,2011,Siembieda et al. 2011,yes,Google Scholar,"USA, California, San Francisco Bay",yes,North America,"direct immunofluorescence assay, immunomagnetic separation",Immunologic,NA,NA,,<5 g,Animal,Bird,,,,,,Northern flicker and mockingbird,free,Cryptosporidium spp,Cryptosporidium,feces,yes,no,,,ND,2,,NA,,NA,,,,,,,,Data had to be compiled from all over the place in the article,response to oil spill,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Siembieda et al.,2011,Siembieda et al. 2011,yes,Google Scholar,"USA, California, San Francisco Bay",yes,North America,"direct immunofluorescence assay, immunomagnetic separation",Immunologic,NA,NA,,<5 g,Animal,Bird,Charadriiformes,,,,,Killdeer and willet ,free,Cryptosporidium spp,Cryptosporidium,feces,yes,no,,,ND,2,,NA,,NA,,,,,,,,Data had to be compiled from all over the place in the article,response to oil spill,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Siembieda et al.,2011,Siembieda et al. 2011,yes,Google Scholar,"USA, California, San Francisco Bay",yes,North America,"direct immunofluorescence assay, immunomagnetic separation",Immunologic,NA,NA,,<5 g,Animal,Bird,Podicipediformes,,,,,Eared and western grebe ,free,Cryptosporidium spp,Cryptosporidium,feces,yes,no,,,ND,3,,NA,,NA,,,,,,,,Data had to be compiled from all over the place in the article,response to oil spill,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Siembieda et al.,2011,Siembieda et al. 2011,yes,Google Scholar,"USA, California, San Francisco Bay",yes,North America,"direct immunofluorescence assay, immunomagnetic separation",Immunologic,NA,NA,,<5 g,Animal,Bird,Gaviiformes,Gaviidae,Gavia,,,"Common, Pacific, and red-throated loons ",free,Cryptosporidium spp,Cryptosporidium,feces,yes,no,,,ND,9,,NA,,NA,,,,,,,,Data had to be compiled from all over the place in the article,response to oil spill,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
"Snyder, DE",1988,"Snyder, DE 1988",yes,review,"USA, Central Illinois",yes,North America,"Microscope, Centrifuge, monoclonal antibody, ",Conventional,NA,NA,,5g,Animal,Mammal,Carnivora,Procyonidae,Procyon,Raccoon,Procyon lotor,,free,Cryptosporidium parvum,Cryptosporidium parvum,feces,yes,no,,,13,100,0.13,NA,,NA,,,,,,,,From Ferguson et al. 2016,,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Spain et al.,2001,Spain et al. 2001,yes,review,"USA, New York, Central",yes,North America,"ELISA, microscope, flotation",Immunologic,NA,NA,,NA,Animal,Mammal,Carnivora,Felidae,Felis,Cat,,,domestic,Cryptosporidium sp.,Cryptosporidium,fecal,yes,no,,,3,114,,NA,,NA,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Spain et al.,2001,Spain et al. 2001,yes,review,"USA, New York, Central",yes,North America,"ELISA, microscope, flotation",Immunologic,NA,NA,,NA,Animal,Mammal,Carnivora,Felidae,Felis,Cat,,,free (animal shelter),Cryptosporidium sp.,Cryptosporidium,fecal,yes,no,,,8,149,,NA,,NA,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Spain et al.,2001,Spain et al. 2001,yes,review,"USA, New York, Central",yes,North America,"ELISA, microscope, flotation",Immunologic,NA,NA,,NA,Animal,Mammal,Carnivora,Felidae,Felis,Cat,,,domestic and free (animal shelter),Cryptosporidium sp.,Cryptosporidium,fecal,yes,no,,,10,263,0.038,NA,,NA,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Sturdee et al.,1999,Sturdee et al. 1999,yes,review,"UK, Norfolk, Worcestershire, Warwickshire",no,Europe,"Microscope, sedimentation, kill ether",Conventional,800,NA,oocyst/g,20 ul,Animal,Mammal,Soricomorpha,Soricidae,Sorex,Common shrew,Sorex araneus,,free,Cryptosporidium parvum,Cryptosporidium parvum,feces,yes,yes,Semiquantitative,yes,7,20,0.35,NA,,NA,,,3000,25000,,,oocysts/g,From Ferguson et al. 2009,,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Sturdee et al.,1999,Sturdee et al. 1999,yes,review,"UK, Norfolk, Worcestershire, Warwickshire",no,Europe,"Microscope, sedimentation, kill ether",Conventional,800,NA,oocyst/g,20 ul,Animal,Mammal,Soricomorpha,Soricidae,Sorex,Common shrew,Sorex araneus,,free,Cryptosporidium parvum,Cryptosporidium parvum,feces,yes,yes,Semiquantitative,yes,13,20,,NA,,NA,,,0,800,,,oocysts/g,From Ferguson et al. 2009,,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Sturdee et al.,1999,Sturdee et al. 1999,yes,review,"UK, Norfolk, Worcestershire, Warwickshire",no,Europe,"Microscope, sedimentation, kill ether",Conventional,800,NA,oocyst/g,20 ul,Animal,Mammal,Rodentia,Sciuridae,Sciurus,Eastern gray squirrel,Sciurus carolinensis,,free,Cryptosporidium parvum,Cryptosporidium parvum,feces,yes,yes,Semiquantitative,yes,8,8,0,NA,,NA,,,0,800,,,oocysts/g,From Ferguson et al. 2009,,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Sturdee et al.,1999,Sturdee et al. 1999,yes,review,"UK, Norfolk, Worcestershire, Warwickshire",no,Europe,"Microscope, sedimentation, kill ether",Conventional,800,NA,oocyst/g,20 ul,Animal,Mammal,Carnivora,Mustelidae,Mustela,Ermine,Mustela erminea,,free,Cryptosporidium parvum,Cryptosporidium parvum,feces,yes,yes,Semiquantitative,yes,2,2,0,NA,0,NA,,,0,800,,,oocysts/g,From Ferguson et al. 2009,,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Sturdee et al.,1999,Sturdee et al. 1999,yes,review,"UK, Norfolk, Worcestershire, Warwickshire",no,Europe,"Microscope, sedimentation, kill ether",Conventional,800,NA,oocyst/g,20 ul,Animal,Mammal,Soricomorpha,Soricidae,Sorex,Eurasian pigmy shrew,Sorex minutus,,free,Cryptosporidium parvum,Cryptosporidium parvum,feces,yes,yes,Semiquantitative,yes,1,10,0.1,NA,10000,NA,,,10000,10000,,,oocysts/g,From Ferguson et al. 2009,,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Sturdee et al.,1999,Sturdee et al. 1999,yes,review,"UK, Norfolk, Worcestershire, Warwickshire",no,Europe,"Microscope, sedimentation, kill ether",Conventional,800,NA,oocyst/g,20 ul,Animal,Mammal,Soricomorpha,Soricidae,Sorex,Eurasian pigmy shrew,Sorex minutus,,free,Cryptosporidium parvum,Cryptosporidium parvum,feces,yes,yes,Semiquantitative,yes,9,10,,NA,,NA,,,0,800,,,oocysts/g,From Ferguson et al. 2009,,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Sturdee et al.,1999,Sturdee et al. 1999,yes,review,"UK, Norfolk, Worcestershire, Warwickshire",no,Europe,"Microscope, sedimentation, kill ether",Conventional,800,NA,oocyst/g,20 ul,Animal,Mammal,Carnivora,Mustelidae,Meles,European badger,Meles meles,,free,Cryptosporidium parvum,Cryptosporidium parvum,feces,yes,yes,Semiquantitative,yes,4,26,0.15,NA,3000,NA,,,3000,3000,,,oocysts/g,From Ferguson et al. 2009,,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Sturdee et al.,1999,Sturdee et al. 1999,yes,review,"UK, Norfolk, Worcestershire, Warwickshire",no,Europe,"Microscope, sedimentation, kill ether",Conventional,800,NA,oocyst/g,20 ul,Animal,Mammal,Carnivora,Mustelidae,Meles,European badger,Meles meles,,free,Cryptosporidium parvum,Cryptosporidium parvum,feces,yes,yes,Semiquantitative,yes,22,26,,NA,,NA,,,0,800,,,oocysts/g,From Ferguson et al. 2009,,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Sturdee et al.,1999,Sturdee et al. 1999,yes,review,"UK, Norfolk, Worcestershire, Warwickshire",no,Europe,"Microscope, sedimentation, kill ether",Conventional,800,NA,oocyst/g,20 ul,Animal,Mammal,Carnivora,Mustelidae,Mustela,European polecat,Mustela putorius,,free,Cryptosporidium parvum,Cryptosporidium parvum,feces,yes,yes,Semiquantitative,yes,2,2,0,NA,,NA,,,0,800,,,oocysts/g,From Ferguson et al. 2009,,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Sturdee et al.,1999,Sturdee et al. 1999,yes,review,"UK, Norfolk, Worcestershire, Warwickshire",no,Europe,"Microscope, sedimentation, kill ether",Conventional,800,NA,oocyst/g,20 ul,Animal,Mammal,Carnivora,Mustelidae,Mustela,Least weasel,Mustela nivalis,,free,Cryptosporidium parvum,Cryptosporidium parvum,feces,yes,yes,Semiquantitative,yes,1,1,0,NA,,NA,,,0,800,,,oocysts/g,From Ferguson et al. 2009,,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Sturdee et al.,2003,Sturdee et al. 2003,yes,review,"UK, England, Coventry, Warwickshire College Estate, pasture",no,Europe,"microscope, stain with antibody, flotation, fecal samples in ether to kill bactera",Conventional,800,NA,oocyst/g,0.5 g,Animal,Mammal,Rodentia,,,,,"small mammals (wood mice, voles, shrews)",free,Cryptosporidium,Cryptosporidium,feces,yes,yes,StatsnoND,no,281,940,,NA,46776,NA,101280,,800,898400,,,oocysts/g feces,other data included repeat samples,,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Sturdee et al.,2003,Sturdee et al. 2003,yes,review,"UK, England, Coventry, Warwickshire College Estate, near buildings",no,Europe,"microscope, stain with antibody, flotation, fecal samples in ether to kill bactera",Conventional,800,NA,oocyst/g,0.5 g,Animal,Mammal,Rodentia,Muridae ,,,,Muridae (family),free,Cryptosporidium,Cryptosporidium,feces,yes,yes,StatsnoND,no,159,485,,NA,43781,NA,116400,,800,716000,,,oocysts/g feces,other data included repeat samples,,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Villeneuve et al.,2015,Villeneuve et al. 2015,yes,Google Scholar,"Canada, Animal Shelters",no,North America,"microscope, flotation",Conventional,NA,NA,,NA,Animal,Mammal,Carnivora,Felidae,Felis,Cat,,,shelter,Cryptosporidium,Cryptosporidium,feces,yes,no,,,8,636,0.013,NA,,NA,,,,,,,,Has information seperated by age and region,,NA,NA,NA,NA,NA,NA,NA,NA,High,3
Waters et al. ,2019,Waters et al.  2019,yes,Web of Science,"Australia, SE Queensland, Brisbane",no,Western Pacific,"PCR (Blastocystis spp., Cryptosporidium spp., Dientamoeba fragilis, Entamoeba histolytica, and Giardia spp.), EasyScreen? Enteric Parasite Detection Kit",Molecular,NA,NA,,NA,Animal,Mammal,Diprotodontia,,,,,Possum (order),free,Cryptosporidium spp. ,Cryptosporidium,feces,yes,no,,,2,20,,NA,,NA,,,,,,,,Samples from (Ahmed et al. 2016),,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Webster and MacDonald,1995,Webster and MacDonald 1995,yes,review,"UK, England, Oxfordshire, farms",no,Europe,"microscope, immunoflourscence, centrifuge",Conventional,NA,NA,,3-4 pellets per rat,Animal,Mammal,Rodentia,,,,,Rat (order),free,Cryptosporidium parvum,Cryptosporidium parvum,feces,yes,no,,,46,73,,NA,,NA,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Zhou et al. ,2004,Zhou et al.  2004,yes,review,"USA, Chesapeake Bay",yes,North America,"SSU rRNA PCR-RFLP SspI, VspI 830 bp",Molecular,NA,NA,,15 g ,Animal,Mammal,Carnivora,Procyonidae,Procyon,Raccoon,,,free,Cryptosporidium Skunk genotype ,Cryptosporidium (genotype),pooled feces,yes,no,,,2,51,0.039,NA,,NA,,,,,,,,From Ferguson et al. 2009,,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Zhou et al.,2004,Zhou et al. 2004,yes,review,"USA, Ohio, Toledo/Illinois, DuPage County",yes,North America,"PCR (SU rRNA gene 826-864 bp), 3 replicates",Molecular,200,NA,gene copies/ml (3 replicates),200 mg,Animal,Bird,Anseriformes,Anatidae,Branta,Canada goose,Branta canadensis,,free,Cryptosporidium spp.,Cryptosporidium,feces,yes,no,,,49,209,,NA,,NA,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,High,3
Zhou et al.,2004,Zhou et al. 2004,yes,review,"USA, Ohio, Toledo/Illinois, DuPage County",yes,North America,"PCR (SU rRNA gene 826-864 bp), 3 replicates",Molecular,200,NA,gene copies/ml (3 replicates),200 mg,Animal,Bird,Anseriformes,Anatidae,Branta,Canada goose,Branta canadensis,,free,Cryptosporidium Duck genotype,Cryptosporidium (genotype),feces,yes,no,,,1,209,,NA,,NA,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,High,3
Zhou et al.,2004,Zhou et al. 2004,yes,review,"USA, Ohio, Toledo/Illinois, DuPage County",yes,North America,"PCR (SU rRNA gene 826-864 bp), 3 replicates",Molecular,200,NA,gene copies/ml (3 replicates),200 mg,Animal,Bird,Anseriformes,Anatidae,Branta,Canada goose,Branta canadensis,,free,Cryptosporidium Goose genotype II,Cryptosporidium (genotype),feces,yes,no,,,9,209,,NA,,NA,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,High,3
Zhou et al.,2004,Zhou et al. 2004,yes,review,"USA, Ohio, Toledo/Illinois, DuPage County",yes,North America,"PCR (SU rRNA gene 826-864 bp), 3 replicates",Molecular,200,NA,gene copies/ml (3 replicates),200 mg,Animal,Bird,Anseriformes,Anatidae,Branta,Canada goose,Branta canadensis,,free,Cryptosporidium Goose genotype I ,Cryptosporidium (genotype),feces,yes,no,,,36,209,,NA,,NA,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,High,3
Zhou et al.,2004,Zhou et al. 2004,yes,review,"USA, Ohio, Toledo/Illinois, DuPage County",yes,North America,"PCR (SU rRNA gene 826-864 bp), 3 replicates",Molecular,200,NA,gene copies/ml (3 replicates),200 mg,Animal,Bird,Anseriformes,Anatidae,Branta,Canada goose,Branta canadensis,,free,Cryptosporidium hominis,Cryptosporidium hominis,feces,yes,no,,,2,209,,NA,,NA,,,,,,,,might be contaminated with feces from other waterfowl,,NA,NA,NA,NA,NA,NA,NA,NA,High,3
Zhou et al.,2004,Zhou et al. 2004,yes,review,"USA, Ohio, Toledo/Illinois, DuPage County",yes,North America,"PCR (SU rRNA gene 826-864 bp), 3 replicates",Molecular,200,NA,gene copies/ml (3 replicates),200 mg,Animal,Bird,Anseriformes,Anatidae,Branta,Canada goose,Branta canadensis,,free,Cryptosporidium parvum,Cryptosporidium parvum,feces,yes,no,,,5,209,,NA,,NA,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,High,3
